[I 2021-06-13 05:19:28,294] Trial 47 finished with value: 1.7497640454706735 and parameters: {'n_estimators': 774, 'max_depth': 6, 'reg_alpha': 2, 'reg_lambda': 3, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.15493965368944035, 'colsample_bytree': 0.26}. Best is trial 36 with value: 1.7481993529925124.
[I 2021-06-13 05:22:44,252] Trial 48 finished with value: 1.7479775622406974 and parameters: {'n_estimators': 877, 'max_depth': 6, 'reg_alpha': 2, 'reg_lambda': 3, 'min_child_weight': 4, 'gamma': 5, 'learning_rate': 0.11603205131000091, 'colsample_bytree': 0.13}. Best is trial 48 with value: 1.7479775622406974.
[I 2021-06-13 05:25:24,071] Trial 49 finished with value: 1.749411645926349 and parameters: {'n_estimators': 502, 'max_depth': 6, 'reg_alpha': 3, 'reg_lambda': 2, 'min_child_weight': 4, 'gamma': 4, 'learning_rate': 0.11680417224632979, 'colsample_bytree': 0.30000000000000004}. Best is trial 48 with value: 1.7479775622406974.
[I 2021-06-13 08:48:58,721] Trial 0 finished with value: 1.7490404878336936 and parameters: {'n_estimators': 705, 'max_depth': 4, 'reg_alpha': 0.0001684074954321138, 'reg_lambda': 0.0007752471897033459, 'min_child_weight': 0, 'gamma': 0.026337634016483966, 'learning_rate': 0.023144850974167585, 'colsample_bytree': 0.13}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 08:50:50,431] Trial 1 finished with value: 1.7548422087690794 and parameters: {'n_estimators': 528, 'max_depth': 5, 'reg_alpha': 0.15935735063272372, 'reg_lambda': 8.791795314009677, 'min_child_weight': 1, 'gamma': 1.1448300599961792, 'learning_rate': 0.3019537701900377, 'colsample_bytree': 0.82}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 08:52:33,142] Trial 2 finished with value: 1.750425534247607 and parameters: {'n_estimators': 560, 'max_depth': 3, 'reg_alpha': 0.0008605862903264809, 'reg_lambda': 1.6378354635171095, 'min_child_weight': 5, 'gamma': 0.001977414819726597, 'learning_rate': 0.06845230449173335, 'colsample_bytree': 0.19}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 08:57:12,852] Trial 3 finished with value: 1.7645099201317878 and parameters: {'n_estimators': 965, 'max_depth': 3, 'reg_alpha': 7.714586004863795e-05, 'reg_lambda': 0.0024003862131888464, 'min_child_weight': 5, 'gamma': 0.0010917579174526716, 'learning_rate': 0.005583295785983812, 'colsample_bytree': 0.37}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 08:59:14,100] Trial 4 finished with value: 1.750864281286113 and parameters: {'n_estimators': 611, 'max_depth': 3, 'reg_alpha': 0.00023105406253760038, 'reg_lambda': 0.027490861666421687, 'min_child_weight': 0, 'gamma': 2.743655098476089e-05, 'learning_rate': 0.0477046149537537, 'colsample_bytree': 0.19}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:02:47,378] Trial 5 finished with value: 1.751220928536728 and parameters: {'n_estimators': 543, 'max_depth': 4, 'reg_alpha': 0.018695254876233025, 'reg_lambda': 0.00020469488289416208, 'min_child_weight': 0, 'gamma': 1.1897781787980625e-05, 'learning_rate': 0.020904614707722, 'colsample_bytree': 0.36}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:07:16,706] Trial 6 finished with value: 1.7525956028610468 and parameters: {'n_estimators': 517, 'max_depth': 3, 'reg_alpha': 0.0007451820533180682, 'reg_lambda': 4.191067651267473e-05, 'min_child_weight': 0, 'gamma': 2.5755302696098226, 'learning_rate': 0.03994446828944279, 'colsample_bytree': 0.87}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:10:51,485] Trial 7 finished with value: 1.756681629677862 and parameters: {'n_estimators': 713, 'max_depth': 2, 'reg_alpha': 0.00091932745105714, 'reg_lambda': 0.0001077718594589311, 'min_child_weight': 4, 'gamma': 0.5398181741310488, 'learning_rate': 0.01988175433209085, 'colsample_bytree': 0.6799999999999999}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:13:42,496] Trial 8 finished with value: 1.7530374797540718 and parameters: {'n_estimators': 692, 'max_depth': 6, 'reg_alpha': 8.504737995054226e-05, 'reg_lambda': 7.112007949792538e-05, 'min_child_weight': 1, 'gamma': 4.837165931042167, 'learning_rate': 0.12930527697618935, 'colsample_bytree': 0.71}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:15:59,835] Trial 9 finished with value: 1.752179573887866 and parameters: {'n_estimators': 868, 'max_depth': 6, 'reg_alpha': 2.0292418100417806, 'reg_lambda': 0.16991521695918255, 'min_child_weight': 1, 'gamma': 1.271424613285167e-05, 'learning_rate': 0.12368469762216128, 'colsample_bytree': 0.53}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:19:24,825] Trial 10 finished with value: 1.7626916007563471 and parameters: {'n_estimators': 801, 'max_depth': 5, 'reg_alpha': 1.0739958904042351e-05, 'reg_lambda': 0.002592307510549708, 'min_child_weight': 3, 'gamma': 0.04257500146951149, 'learning_rate': 0.006581010403314179, 'colsample_bytree': 0.1}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:22:22,924] Trial 11 finished with value: 1.7507069339558483 and parameters: {'n_estimators': 617, 'max_depth': 4, 'reg_alpha': 0.007101601596989229, 'reg_lambda': 6.6801256179659045, 'min_child_weight': 5, 'gamma': 0.0025972638191931346, 'learning_rate': 0.017538964312440876, 'colsample_bytree': 0.21000000000000002}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:23:19,232] Trial 12 finished with value: 1.7516157797511667 and parameters: {'n_estimators': 643, 'max_depth': 2, 'reg_alpha': 0.0053105015438829825, 'reg_lambda': 0.5441528855446699, 'min_child_weight': 3, 'gamma': 0.04625145416006109, 'learning_rate': 0.10336995586704002, 'colsample_bytree': 0.1}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:27:51,867] Trial 13 finished with value: 1.7540910693386569 and parameters: {'n_estimators': 788, 'max_depth': 4, 'reg_alpha': 2.3232852881123138e-05, 'reg_lambda': 0.0006956067143375326, 'min_child_weight': 2, 'gamma': 0.00023603131263499804, 'learning_rate': 0.0095624124496152, 'colsample_bytree': 0.33}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:29:44,775] Trial 14 finished with value: 1.7506693162454292 and parameters: {'n_estimators': 873, 'max_depth': 3, 'reg_alpha': 0.0015315714031531077, 'reg_lambda': 0.03096346610681881, 'min_child_weight': 4, 'gamma': 0.017604026104410378, 'learning_rate': 0.07192859831281376, 'colsample_bytree': 0.25}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:31:07,616] Trial 15 finished with value: 1.7534799307373352 and parameters: {'n_estimators': 590, 'max_depth': 5, 'reg_alpha': 0.08884918817985846, 'reg_lambda': 1.0288240744174642, 'min_child_weight': 2, 'gamma': 0.24412774965350853, 'learning_rate': 0.23369167032183993, 'colsample_bytree': 0.47}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:32:27,940] Trial 16 finished with value: 1.7535808408565818 and parameters: {'n_estimators': 717, 'max_depth': 2, 'reg_alpha': 0.00023826759036479615, 'reg_lambda': 0.0060642467461896185, 'min_child_weight': 4, 'gamma': 0.00022062605198098391, 'learning_rate': 0.02662495171947236, 'colsample_bytree': 0.1}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:37:40,761] Trial 17 finished with value: 1.758803139229864 and parameters: {'n_estimators': 568, 'max_depth': 3, 'reg_alpha': 2.4132790740261066e-05, 'reg_lambda': 0.06883152946605704, 'min_child_weight': 5, 'gamma': 0.007758965306889345, 'learning_rate': 0.012807570960471458, 'colsample_bytree': 0.97}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:40:26,365] Trial 18 finished with value: 1.7500539751749487 and parameters: {'n_estimators': 679, 'max_depth': 4, 'reg_alpha': 0.0019737071181987515, 'reg_lambda': 0.00045324484226448434, 'min_child_weight': 3, 'gamma': 0.000865284386992615, 'learning_rate': 0.04179896583407937, 'colsample_bytree': 0.26}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:44:51,735] Trial 19 finished with value: 1.750381714295689 and parameters: {'n_estimators': 663, 'max_depth': 5, 'reg_alpha': 0.03010313345516642, 'reg_lambda': 1.02557965542142e-05, 'min_child_weight': 2, 'gamma': 0.00028324043815689096, 'learning_rate': 0.034220474831435393, 'colsample_bytree': 0.44000000000000006}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:49:08,126] Trial 20 finished with value: 1.7527474259909241 and parameters: {'n_estimators': 767, 'max_depth': 4, 'reg_alpha': 0.2602506425706421, 'reg_lambda': 1.0717678954268539e-05, 'min_child_weight': 3, 'gamma': 0.12325966091905699, 'learning_rate': 0.011083959697986603, 'colsample_bytree': 0.29000000000000004}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:53:33,910] Trial 21 finished with value: 1.750284997539129 and parameters: {'n_estimators': 665, 'max_depth': 5, 'reg_alpha': 0.028891045713643527, 'reg_lambda': 1.0715748347111074e-05, 'min_child_weight': 2, 'gamma': 0.00019714869585860115, 'learning_rate': 0.03447322551021489, 'colsample_bytree': 0.44000000000000006}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 09:57:02,895] Trial 22 finished with value: 1.7508891909949482 and parameters: {'n_estimators': 671, 'max_depth': 5, 'reg_alpha': 0.0026532370954451745, 'reg_lambda': 0.0004964331755007067, 'min_child_weight': 3, 'gamma': 7.009305559594619e-05, 'learning_rate': 0.057334046214907536, 'colsample_bytree': 0.59}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 10:01:32,337] Trial 23 finished with value: 1.7507229611114599 and parameters: {'n_estimators': 706, 'max_depth': 4, 'reg_alpha': 0.057191785351364315, 'reg_lambda': 2.5971786137760157e-05, 'min_child_weight': 1, 'gamma': 0.000731857661468257, 'learning_rate': 0.03253578546107706, 'colsample_bytree': 0.42000000000000004}. Best is trial 0 with value: 1.7490404878336936.
[I 2021-06-13 10:06:07,555] Trial 24 finished with value: 1.7476798143658787 and parameters: {'n_estimators': 750, 'max_depth': 6, 'reg_alpha': 0.7714593826301048, 'reg_lambda': 0.0005571589992123776, 'min_child_weight': 2, 'gamma': 0.004516827264275762, 'learning_rate': 0.025445192205365622, 'colsample_bytree': 0.14}. Best is trial 24 with value: 1.7476798143658787.
[I 2021-06-13 10:12:11,598] Trial 25 finished with value: 1.7468881744822486 and parameters: {'n_estimators': 842, 'max_depth': 6, 'reg_alpha': 9.848373168940954, 'reg_lambda': 0.0008510855385848123, 'min_child_weight': 4, 'gamma': 0.0054775900223248495, 'learning_rate': 0.014176671703157962, 'colsample_bytree': 0.15000000000000002}. Best is trial 25 with value: 1.7468881744822486.
[I 2021-06-13 10:17:48,060] Trial 26 finished with value: 1.7509938727203758 and parameters: {'n_estimators': 835, 'max_depth': 6, 'reg_alpha': 7.661661017955232, 'reg_lambda': 0.0016548132857408836, 'min_child_weight': 4, 'gamma': 0.007992029351129725, 'learning_rate': 0.00840245945501377, 'colsample_bytree': 0.15000000000000002}. Best is trial 25 with value: 1.7468881744822486.
[I 2021-06-13 10:24:29,005] Trial 27 finished with value: 1.7477288044228219 and parameters: {'n_estimators': 942, 'max_depth': 6, 'reg_alpha': 0.853173239161367, 'reg_lambda': 0.012764405513342429, 'min_child_weight': 4, 'gamma': 0.026892665169503952, 'learning_rate': 0.014461253567874165, 'colsample_bytree': 0.15000000000000002}. Best is trial 25 with value: 1.7468881744822486.
[I 2021-06-13 10:33:10,433] Trial 28 finished with value: 1.7486617459840141 and parameters: {'n_estimators': 960, 'max_depth': 6, 'reg_alpha': 0.7789897766085908, 'reg_lambda': 0.012698453885609055, 'min_child_weight': 4, 'gamma': 0.0044363052357115455, 'learning_rate': 0.015541978710256229, 'colsample_bytree': 0.30000000000000004}. Best is trial 25 with value: 1.7468881744822486.
